iter	Passed	Remaining
0	144	144133
1	145	72851
2	148	49424
3	154	38408
4	156	31139
5	157	26111
6	158	22480
7	159	19795
8	160	17706
9	161	15985
10	162	14582
11	166	13735
12	168	12758
13	169	11907
14	170	11185
15	172	10579
16	172	9996
17	174	9496
18	174	9025
19	175	8599
20	176	8217
21	180	8027
22	182	7733
23	183	7457
24	184	7187
25	185	6930
26	185	6692
27	186	6475
28	187	6271
29	188	6083
30	188	5903
31	189	5734
32	190	5576
33	191	5429
34	193	5325
35	194	5200
36	195	5087
37	196	4974
38	197	4862
39	198	4755
40	198	4653
41	199	4555
42	200	4463
43	201	4379
44	206	4390
45	208	4330
46	209	4255
47	210	4180
48	211	4105
49	212	4032
50	213	3967
51	214	3903
52	214	3840
53	215	3778
54	221	3813
55	223	3771
56	225	3723
57	226	3677
58	227	3625
59	227	3571
60	228	3520
61	229	3470
62	230	3423
63	230	3376
64	236	3405
65	238	3379
66	240	3345
67	240	3302
68	241	3262
69	242	3227
70	243	3188
71	244	3155
72	245	3121
73	250	3128
74	253	3120
75	254	3091
76	257	3081
77	257	3046
78	258	3013
79	259	2980
80	259	2948
81	265	2966
82	265	2936
83	266	2908
84	267	2883
85	268	2857
86	270	2835
87	270	2808
88	271	2781
89	272	2757
90	273	2732
91	274	2707
92	278	2712
93	280	2702
94	282	2692
95	283	2670
96	284	2649
97	285	2626
98	286	2603
99	286	2580
100	287	2561
101	288	2540
102	289	2519
103	290	2498
104	296	2524
105	297	2509
106	298	2492
107	299	2475
108	301	2460
109	302	2443
110	302	2425
111	303	2407
112	304	2390
113	309	2403
114	312	2401
115	315	2400
116	316	2385
117	317	2370
118	318	2355
119	319	2342
120	323	2349
121	324	2338
122	326	2329
123	327	2315
124	328	2299
125	329	2287
126	330	2272
127	331	2260
128	332	2246
129	333	2232
130	337	2237
131	339	2230
132	340	2217
133	341	2207
134	342	2195
135	343	2184
136	344	2172
137	345	2159
138	346	2146
139	347	2135
140	348	2123
141	352	2129
142	354	2121
143	355	2113
144	356	2102
145	357	2093
146	358	2080
147	359	2068
148	360	2056
149	360	2044
150	361	2033
151	362	2021
152	363	2009
153	363	1998
154	369	2012
155	370	2002
156	370	1990
157	371	1979
158	372	1968
159	372	1957
160	373	1945
161	374	1934
162	375	1925
163	375	1916
164	376	1907
165	377	1897
166	378	1886
167	378	1876
168	383	1884
169	384	1878
170	386	1873
171	388	1869
172	389	1861
173	390	1853
174	391	1846
175	392	1838
176	393	1831
177	399	1842
178	400	1836
179	401	1828
180	402	1820
181	403	1811
182	403	1802
183	404	1793
184	405	1784
185	405	1776
186	406	1768
187	407	1760
188	408	1752
189	409	1743
190	413	1751
191	414	1743
192	415	1735
193	415	1727
194	416	1719
195	417	1712
196	418	1705
197	419	1698
198	420	1690
199	420	1683
200	421	1675
201	422	1668
202	423	1661
203	424	1654
204	428	1660
205	429	1656
206	430	1650
207	432	1645
208	433	1639
209	433	1632
210	434	1626
211	435	1619
212	436	1613
213	437	1606
214	438	1600
215	438	1593
216	444	1602
217	445	1596
218	445	1589
219	446	1583
220	447	1576
221	447	1569
222	448	1563
223	449	1556
224	450	1550
225	450	1544
226	451	1539
227	452	1533
228	453	1527
229	458	1534
230	459	1529
231	460	1524
232	461	1518
233	462	1513
234	464	1510
235	465	1507
236	466	1502
237	467	1498
238	468	1493
239	475	1504
240	476	1500
241	477	1496
242	478	1491
243	479	1487
244	481	1482
245	482	1477
246	483	1473
247	484	1468
248	489	1476
249	490	1470
250	491	1465
251	491	1460
252	492	1455
253	493	1450
254	494	1445
255	496	1441
256	497	1436
257	497	1432
258	498	1427
259	504	1434
260	505	1431
261	508	1432
262	509	1428
